TicketID,TruckModel,Region,Priority,Subject,Description,Category
DT00344,eActros,Brazil,Medium,Transmission,Gear slipping under load,Transmission
DT00345,Axor,South Africa,High,Transmission,Transmission warning light active,Transmission
DT00346,Actros,India,Low,Transmission,Transmission shifting delay observed,Transmission
DT00347,Arocs,Germany,Medium,Transmission,Gearbox noise during gear change,Transmission
DT00348,Atego,USA,High,Transmission,Automatic transmission not engaging,Transmission
DT00349,eActros,Brazil,Low,Transmission,Gear slipping under load,Transmission
DT00350,Axor,South Africa,Medium,Transmission,Transmission warning light active,Transmission
DT00351,Actros,India,High,Transmission,Transmission shifting delay observed,Transmission
DT00352,Arocs,Germany,Low,Transmission,Gearbox noise during gear change,Transmission
DT00353,Atego,USA,Medium,Transmission,Automatic transmission not engaging,Transmission
DT00354,eActros,Brazil,High,Transmission,Gear slipping under load,Transmission
DT00355,Axor,South Africa,Low,Transmission,Transmission warning light active,Transmission
DT00356,Actros,India,Medium,Transmission,Transmission shifting delay observed,Transmission
DT00357,Arocs,Germany,High,Transmission,Gearbox noise during gear change,Transmission
DT00358,Atego,USA,Low,Transmission,Automatic transmission not engaging,Transmission
DT00359,eActros,Brazil,Medium,Transmission,Gear slipping under load,Transmission
DT00360,Axor,South Africa,High,Transmission,Transmission warning light active,Transmission
DT00361,Actros,India,Low,Transmission,Transmission shifting delay observed,Transmission
DT00362,Arocs,Germany,Medium,Transmission,Gearbox noise during gear change,Transmission
DT00363,Atego,USA,High,Transmission,Automatic transmission not engaging,Transmission
DT00364,eActros,Brazil,Low,Transmission,Gear slipping under load,Transmission
DT00365,Axor,South Africa,Medium,Transmission,Transmission warning light active,Transmission
DT00366,Actros,India,High,Transmission,Transmission shifting delay observed,Transmission
DT00367,Arocs,Germany,Low,Transmission,Gearbox noise during gear change,Transmission
DT00368,Atego,USA,Medium,Transmission,Automatic transmission not engaging,Transmission
DT00369,eActros,Brazil,High,Transmission,Gear slipping under load,Transmission
DT00370,Axor,South Africa,Low,Transmission,Transmission warning light active,Transmission
DT00371,Actros,India,Medium,Transmission,Transmission shifting delay observed,Transmission
DT00372,Arocs,Germany,High,Transmission,Gearbox noise during gear change,Transmission
DT00373,Atego,USA,Low,Transmission,Automatic transmission not engaging,Transmission
DT00374,eActros,Brazil,Medium,Transmission,Gear slipping under load,Transmission
DT00375,Axor,South Africa,High,Transmission,Transmission warning light active,Transmission
DT00376,Actros,India,Low,Transmission,Transmission shifting delay observed,Transmission
DT00377,Arocs,Germany,Medium,Transmission,Gearbox noise during gear change,Transmission
DT00378,Atego,USA,High,Transmission,Automatic transmission not engaging,Transmission
DT00379,eActros,Brazil,Low,Transmission,Gear slipping under load,Transmission
DT00380,Axor,South Africa,Medium,Transmission,Transmission warning light active,Transmission
DT00381,Actros,India,High,Transmission,Transmission shifting delay observed,Transmission
DT00382,Arocs,Germany,Low,Transmission,Gearbox noise during gear change,Transmission
DT00383,Atego,USA,Medium,Transmission,Automatic transmission not engaging,Transmission
DT00384,eActros,Brazil,High,Transmission,Gear slipping under load,Transmission
DT00385,Axor,South Africa,Low,Transmission,Transmission warning light active,Transmission
DT00386,Actros,India,Medium,Transmission,Transmission shifting delay observed,Transmission
DT00387,Arocs,Germany,High,Transmission,Gearbox noise during gear change,Transmission
DT00388,Atego,USA,Low,Transmission,Automatic transmission not engaging,Transmission
DT00389,eActros,Brazil,Medium,Transmission,Gear slipping under load,Transmission
DT00390,Axor,South Africa,High,Transmission,Transmission warning light active,Transmission
DT00391,Actros,India,Low,Transmission,Transmission shifting delay observed,Transmission
DT00392,Arocs,Germany,Medium,Transmission,Gearbox noise during gear change,Transmission
DT00393,Atego,USA,High,Transmission,Automatic transmission not engaging,Transmission
DT00394,eActros,Brazil,Low,Transmission,Gear slipping under load,Transmission
DT00395,Axor,South Africa,Medium,Transmission,Transmission warning light active,Transmission
DT00396,Actros,India,High,Transmission,Transmission shifting delay observed,Transmission
DT00397,Arocs,Germany,Low,Transmission,Gearbox noise during gear change,Transmission
DT00398,Atego,USA,Medium,Transmission,Automatic transmission not engaging,Transmission
DT00399,eActros,Brazil,High,Transmission,Gear slipping under load,Transmission
DT00400,Axor,South Africa,Low,Transmission,Transmission warning light active,Transmission
DT00401,Actros,India,Medium,Transmission,Transmission shifting delay observed,Transmission
DT00402,Arocs,Germany,High,Transmission,Gearbox noise during gear change,Transmission
DT00403,Atego,USA,Low,Transmission,Automatic transmission not engaging,Transmission
DT00404,eActros,Brazil,Medium,Transmission,Gear slipping under load,Transmission
DT00405,Axor,South Africa,High,Transmission,Transmission warning light active,Transmission
DT00406,Actros,India,Low,Transmission,Transmission shifting delay observed,Transmission
DT00407,Arocs,Germany,Medium,Transmission,Gearbox noise during gear change,Transmission
DT00408,Atego,USA,High,Transmission,Automatic transmission not engaging,Transmission
DT00409,eActros,Brazil,Low,Transmission,Gear slipping under load,Transmission
DT00410,Axor,South Africa,Medium,Transmission,Transmission warning light active,Transmission
DT00411,Actros,India,High,Transmission,Transmission shifting delay observed,Transmission
DT00412,Arocs,Germany,Low,Transmission,Gearbox noise during gear change,Transmission
DT00413,Atego,USA,Medium,Transmission,Automatic transmission not engaging,Transmission
DT00414,eActros,Brazil,High,Transmission,Gear slipping under load,Transmission
DT00415,Axor,South Africa,Low,Transmission,Transmission warning light active,Transmission
DT00416,Actros,India,Medium,Transmission,Transmission shifting delay observed,Transmission
DT00417,Arocs,Germany,High,Transmission,Gearbox noise during gear change,Transmission
DT00418,Atego,USA,Low,Transmission,Automatic transmission not engaging,Transmission
DT00419,eActros,Brazil,Medium,Transmission,Gear slipping under load,Transmission
DT00420,Axor,South Africa,High,Transmission,Transmission warning light active,Transmission
DT00421,Actros,India,Low,Transmission,Transmission shifting delay observed,Transmission
DT00422,Arocs,Germany,Medium,Transmission,Gearbox noise during gear change,Transmission
DT00423,Atego,USA,High,Transmission,Automatic transmission not engaging,Transmission
DT00424,eActros,Brazil,Low,Transmission,Gear slipping under load,Transmission
DT00425,Axor,South Africa,Medium,Transmission,Transmission warning light active,Transmission
DT00426,Actros,India,High,Transmission,Transmission shifting delay observed,Transmission
DT00427,Arocs,Germany,Low,Transmission,Gearbox noise during gear change,Transmission
DT00428,Atego,USA,Medium,Transmission,Automatic transmission not engaging,Transmission
DT00429,eActros,Brazil,High,Transmission,Gear slipping under load,Transmission
DT00430,Axor,South Africa,Low,Transmission,Transmission warning light active,Transmission
DT00431,Actros,India,Medium,Transmission,Transmission shifting delay observed,Transmission
DT00432,Arocs,Germany,High,Transmission,Gearbox noise during gear change,Transmission
DT00433,Atego,USA,Low,Transmission,Automatic transmission not engaging,Transmission
DT00434,eActros,Brazil,Medium,Transmission,Gear slipping under load,Transmission
DT00435,Axor,South Africa,High,Transmission,Transmission warning light active,Transmission
DT00436,Actros,India,Low,Transmission,Transmission shifting delay observed,Transmission
DT00437,Arocs,Germany,Medium,Transmission,Gearbox noise during gear change,Transmission
DT00438,Atego,USA,High,Transmission,Automatic transmission not engaging,Transmission
DT00439,eActros,Brazil,Low,Transmission,Gear slipping under load,Transmission
DT00440,Axor,South Africa,Medium,Transmission,Transmission warning light active,Transmission
DT00441,Actros,India,High,Transmission,Transmission shifting delay observed,Transmission
DT00442,Arocs,Germany,Low,Transmission,Gearbox noise during gear change,Transmission
DT00443,Atego,USA,Medium,Transmission,Automatic transmission not engaging,Transmission
DT00444,eActros,Brazil,High,Transmission,Gear slipping under load,Transmission
DT00445,Axor,South Africa,Low,Transmission,Transmission warning light active,Transmission
DT00446,Actros,India,Medium,Transmission,Transmission shifting delay observed,Transmission
DT00447,Arocs,Germany,High,Transmission,Gearbox noise during gear change,Transmission
DT00448,Atego,USA,Low,Transmission,Automatic transmission not engaging,Transmission
DT00449,eActros,Brazil,Medium,Transmission,Gear slipping under load,Transmission
DT00450,Axor,South Africa,High,Transmission,Transmission warning light active,Transmission
DT00451,Actros,India,Low,Electrical,Battery draining overnight,Electrical
DT00452,Arocs,Germany,Medium,Electrical,Dashboard electrical fault indicator active,Electrical
DT00453,Atego,USA,High,Electrical,Alternator charging issue detected,Electrical
DT00454,eActros,Brazil,Low,Electrical,Headlights intermittently failing,Electrical
DT00455,Axor,South Africa,Medium,Electrical,Power distribution module error,Electrical
DT00456,Actros,India,High,Electrical,Battery draining overnight,Electrical
DT00457,Arocs,Germany,Low,Electrical,Dashboard electrical fault indicator active,Electrical
DT00458,Atego,USA,Medium,Electrical,Alternator charging issue detected,Electrical
DT00459,eActros,Brazil,High,Electrical,Headlights intermittently failing,Electrical
DT00460,Axor,South Africa,Low,Electrical,Power distribution module error,Electrical
DT00461,Actros,India,Medium,Electrical,Battery draining overnight,Electrical
DT00462,Arocs,Germany,High,Electrical,Dashboard electrical fault indicator active,Electrical
DT00463,Atego,USA,Low,Electrical,Alternator charging issue detected,Electrical
DT00464,eActros,Brazil,Medium,Electrical,Headlights intermittently failing,Electrical
DT00465,Axor,South Africa,High,Electrical,Power distribution module error,Electrical
DT00466,Actros,India,Low,Electrical,Battery draining overnight,Electrical
DT00467,Arocs,Germany,Medium,Electrical,Dashboard electrical fault indicator active,Electrical
DT00468,Atego,USA,High,Electrical,Alternator charging issue detected,Electrical
DT00469,eActros,Brazil,Low,Electrical,Headlights intermittently failing,Electrical
DT00470,Axor,South Africa,Medium,Electrical,Power distribution module error,Electrical
DT00471,Actros,India,High,Electrical,Battery draining overnight,Electrical
DT00472,Arocs,Germany,Low,Electrical,Dashboard electrical fault indicator active,Electrical
DT00473,Atego,USA,Medium,Electrical,Alternator charging issue detected,Electrical
DT00474,eActros,Brazil,High,Electrical,Headlights intermittently failing,Electrical
DT00475,Axor,South Africa,Low,Electrical,Power distribution module error,Electrical
DT00476,Actros,India,Medium,Electrical,Battery draining overnight,Electrical
DT00477,Arocs,Germany,High,Electrical,Dashboard electrical fault indicator active,Electrical
DT00478,Atego,USA,Low,Electrical,Alternator charging issue detected,Electrical
DT00479,eActros,Brazil,Medium,Electrical,Headlights intermittently failing,Electrical
DT00480,Axor,South Africa,High,Electrical,Power distribution module error,Electrical
DT00481,Actros,India,Low,Electrical,Battery draining overnight,Electrical
DT00482,Arocs,Germany,Medium,Electrical,Dashboard electrical fault indicator active,Electrical
DT00483,Atego,USA,High,Electrical,Alternator charging issue detected,Electrical
DT00484,eActros,Brazil,Low,Electrical,Headlights intermittently failing,Electrical
DT00485,Axor,South Africa,Medium,Electrical,Power distribution module error,Electrical
DT00486,Actros,India,High,Electrical,Battery draining overnight,Electrical
DT00487,Arocs,Germany,Low,Electrical,Dashboard electrical fault indicator active,Electrical
DT00488,Atego,USA,Medium,Electrical,Alternator charging issue detected,Electrical
DT00489,eActros,Brazil,High,Electrical,Headlights intermittently failing,Electrical
DT00490,Axor,South Africa,Low,Electrical,Power distribution module error,Electrical
DT00491,Actros,India,Medium,Electrical,Battery draining overnight,Electrical
DT00492,Arocs,Germany,High,Electrical,Dashboard electrical fault indicator active,Electrical
DT00493,Atego,USA,Low,Electrical,Alternator charging issue detected,Electrical
DT00494,eActros,Brazil,Medium,Electrical,Headlights intermittently failing,Electrical
DT00495,Axor,South Africa,High,Electrical,Power distribution module error,Electrical
DT00496,Actros,India,Low,Electrical,Battery draining overnight,Electrical
DT00497,Arocs,Germany,Medium,Electrical,Dashboard electrical fault indicator active,Electrical
DT00498,Atego,USA,High,Electrical,Alternator charging issue detected,Electrical
DT00499,eActros,Brazil,Low,Electrical,Headlights intermittently failing,Electrical
DT00500,Axor,South Africa,Medium,Electrical,Power distribution module error,Electrical
DT00501,Actros,India,High,Electrical,Battery draining overnight,Electrical
DT00502,Arocs,Germany,Low,Electrical,Dashboard electrical fault indicator active,Electrical
DT00503,Atego,USA,Medium,Electrical,Alternator charging issue detected,Electrical
DT00504,eActros,Brazil,High,Electrical,Headlights intermittently failing,Electrical
DT00505,Axor,South Africa,Low,Electrical,Power distribution module error,Electrical
DT00506,Actros,India,Medium,Electrical,Battery draining overnight,Electrical
DT00507,Arocs,Germany,High,Electrical,Dashboard electrical fault indicator active,Electrical
DT00508,Atego,USA,Low,Electrical,Alternator charging issue detected,Electrical
DT00509,eActros,Brazil,Medium,Electrical,Headlights intermittently failing,Electrical
DT00510,Axor,South Africa,High,Electrical,Power distribution module error,Electrical
DT00511,Actros,India,Low,Electrical,Battery draining overnight,Electrical
DT00512,Arocs,Germany,Medium,Electrical,Dashboard electrical fault indicator active,Electrical
DT00513,Atego,USA,High,Electrical,Alternator charging issue detected,Electrical
DT00514,eActros,Brazil,Low,Electrical,Headlights intermittently failing,Electrical
DT00515,Axor,South Africa,Medium,Electrical,Power distribution module error,Electrical
DT00516,Actros,India,High,Electrical,Battery draining overnight,Electrical
DT00517,Arocs,Germany,Low,Electrical,Dashboard electrical fault indicator active,Electrical
DT00518,Atego,USA,Medium,Electrical,Alternator charging issue detected,Electrical
DT00519,eActros,Brazil,High,Electrical,Headlights intermittently failing,Electrical
DT00520,Axor,South Africa,Low,Electrical,Power distribution module error,Electrical
DT00521,Actros,India,Medium,Electrical,Battery draining overnight,Electrical
DT00522,Arocs,Germany,High,Electrical,Dashboard electrical fault indicator active,Electrical
DT00523,Atego,USA,Low,Electrical,Alternator charging issue detected,Electrical
DT00524,eActros,Brazil,Medium,Electrical,Headlights intermittently failing,Electrical
DT00525,Axor,South Africa,High,Electrical,Power distribution module error,Electrical
DT00526,Actros,India,Low,Electrical,Battery draining overnight,Electrical
DT00527,Arocs,Germany,Medium,Electrical,Dashboard electrical fault indicator active,Electrical
DT00528,Atego,USA,High,Electrical,Alternator charging issue detected,Electrical
DT00529,eActros,Brazil,Low,Electrical,Headlights intermittently failing,Electrical
DT00530,Axor,South Africa,Medium,Electrical,Power distribution module error,Electrical
DT00531,Actros,India,High,Electrical,Battery draining overnight,Electrical
DT00532,Arocs,Germany,Low,Electrical,Dashboard electrical fault indicator active,Electrical
DT00533,Atego,USA,Medium,Electrical,Alternator charging issue detected,Electrical
DT00534,eActros,Brazil,High,Electrical,Headlights intermittently failing,Electrical
DT00535,Axor,South Africa,Low,Electrical,Power distribution module error,Electrical
DT00536,Actros,India,Medium,Electrical,Battery draining overnight,Electrical
DT00537,Arocs,Germany,High,Electrical,Dashboard electrical fault indicator active,Electrical
DT00538,Atego,USA,Low,Electrical,Alternator charging issue detected,Electrical
DT00539,eActros,Brazil,Medium,Electrical,Headlights intermittently failing,Electrical
DT00540,Axor,South Africa,High,Electrical,Power distribution module error,Electrical
DT00541,Actros,India,Low,Electrical,Battery draining overnight,Electrical
DT00542,Arocs,Germany,Medium,Electrical,Dashboard electrical fault indicator active,Electrical
DT00543,Atego,USA,High,Electrical,Alternator charging issue detected,Electrical
DT00544,eActros,Brazil,Low,Electrical,Headlights intermittently failing,Electrical
DT00545,Axor,South Africa,Medium,Electrical,Power distribution module error,Electrical
DT00546,Actros,India,High,Electrical,Battery draining overnight,Electrical
DT00547,Arocs,Germany,Low,Electrical,Dashboard electrical fault indicator active,Electrical
DT00548,Atego,USA,Medium,Electrical,Alternator charging issue detected,Electrical
DT00549,eActros,Brazil,High,Electrical,Headlights intermittently failing,Electrical
DT00550,Axor,South Africa,Low,Electrical,Power distribution module error,Electrical
DT00551,Actros,India,Medium,Electrical,Battery draining overnight,Electrical
DT00552,Arocs,Germany,High,Electrical,Dashboard electrical fault indicator active,Electrical
DT00553,Atego,USA,Low,Electrical,Alternator charging issue detected,Electrical
DT00554,eActros,Brazil,Medium,Electrical,Headlights intermittently failing,Electrical
DT00555,Axor,South Africa,High,Electrical,Power distribution module error,Electrical
DT00556,Actros,India,Low,Electrical,Battery draining overnight,Electrical
DT00557,Arocs,Germany,Medium,Electrical,Dashboard electrical fault indicator active,Electrical
DT00558,Atego,USA,High,Electrical,Alternator charging issue detected,Electrical
DT00559,eActros,Brazil,Low,Electrical,Headlights intermittently failing,Electrical
DT00560,Axor,South Africa,Medium,Electrical,Power distribution module error,Electrical
DT00561,Actros,India,High,Electrical,Battery draining overnight,Electrical
DT00562,Arocs,Germany,Low,Electrical,Dashboard electrical fault indicator active,Electrical
DT00563,Atego,USA,Medium,Electrical,Alternator charging issue detected,Electrical
DT00564,eActros,Brazil,High,Electrical,Headlights intermittently failing,Electrical
DT00565,Axor,South Africa,Low,Electrical,Power distribution module error,Electrical
DT00566,Actros,India,Medium,Electrical,Battery draining overnight,Electrical
DT00567,Arocs,Germany,High,Electrical,Dashboard electrical fault indicator active,Electrical
DT00568,Atego,USA,Low,Electrical,Alternator charging issue detected,Electrical
DT00569,eActros,Brazil,Medium,Electrical,Headlights intermittently failing,Electrical
DT00570,Axor,South Africa,High,Electrical,Power distribution module error,Electrical
DT00571,Actros,India,Low,Electrical,Battery draining overnight,Electrical
DT00572,Arocs,Germany,Medium,Electrical,Dashboard electrical fault indicator active,Electrical
DT00573,Atego,USA,High,Electrical,Alternator charging issue detected,Electrical
DT00574,eActros,Brazil,Low,Electrical,Headlights intermittently failing,Electrical
DT00575,Axor,South Africa,Medium,Electrical,Power distribution module error,Electrical
DT00576,Actros,India,High,Electrical,Battery draining overnight,Electrical
DT00577,Arocs,Germany,Low,Electrical,Dashboard electrical fault indicator active,Electrical
DT00578,Atego,USA,Medium,Electrical,Alternator charging issue detected,Electrical
DT00579,eActros,Brazil,High,Electrical,Headlights intermittently failing,Electrical
DT00580,Axor,South Africa,Low,Electrical,Power distribution module error,Electrical
DT00581,Actros,India,Medium,Electrical,Battery draining overnight,Electrical
DT00582,Arocs,Germany,High,Electrical,Dashboard electrical fault indicator active,Electrical
DT00583,Atego,USA,Low,Electrical,Alternator charging issue detected,Electrical
DT00584,eActros,Brazil,Medium,Electrical,Headlights intermittently failing,Electrical
DT00585,Axor,South Africa,High,Electrical,Power distribution module error,Electrical
DT00586,Actros,India,Low,Electrical,Battery draining overnight,Electrical
DT00587,Arocs,Germany,Medium,Electrical,Dashboard electrical fault indicator active,Electrical
DT00588,Atego,USA,High,Electrical,Alternator charging issue detected,Electrical
DT00589,eActros,Brazil,Low,Electrical,Headlights intermittently failing,Electrical
DT00590,Axor,South Africa,Medium,Electrical,Power distribution module error,Electrical
DT00591,Actros,India,High,Electrical,Battery draining overnight,Electrical
DT00592,Arocs,Germany,Low,Electrical,Dashboard electrical fault indicator active,Electrical
DT00593,Atego,USA,Medium,Electrical,Alternator charging issue detected,Electrical
DT00594,eActros,Brazil,High,Electrical,Headlights intermittently failing,Electrical
DT00595,Axor,South Africa,Low,Electrical,Power distribution module error,Electrical
DT00596,Actros,India,Medium,Electrical,Battery draining overnight,Electrical
DT00597,Arocs,Germany,High,Electrical,Dashboard electrical fault indicator active,Electrical
DT00598,Atego,USA,Low,Electrical,Alternator charging issue detected,Electrical
DT00599,eActros,Brazil,Medium,Electrical,Headlights intermittently failing,Electrical
DT00600,Axor,South Africa,High,Electrical,Power distribution module error,Electrical
DT00601,Actros,India,Low,Fuel System,Fuel leakage detected near tank,Fuel System
DT00602,Arocs,Germany,Medium,Fuel System,Fuel consumption higher than expected,Fuel System
DT00603,Atego,USA,High,Fuel System,Fuel pump malfunction reported,Fuel System
DT00604,eActros,Brazil,Low,Fuel System,Injector performance issue detected,Fuel System
DT00605,Axor,South Africa,Medium,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00606,Actros,India,High,Fuel System,Fuel leakage detected near tank,Fuel System
DT00607,Arocs,Germany,Low,Fuel System,Fuel consumption higher than expected,Fuel System
DT00608,Atego,USA,Medium,Fuel System,Fuel pump malfunction reported,Fuel System
DT00609,eActros,Brazil,High,Fuel System,Injector performance issue detected,Fuel System
DT00610,Axor,South Africa,Low,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00611,Actros,India,Medium,Fuel System,Fuel leakage detected near tank,Fuel System
DT00612,Arocs,Germany,High,Fuel System,Fuel consumption higher than expected,Fuel System
DT00613,Atego,USA,Low,Fuel System,Fuel pump malfunction reported,Fuel System
DT00614,eActros,Brazil,Medium,Fuel System,Injector performance issue detected,Fuel System
DT00615,Axor,South Africa,High,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00616,Actros,India,Low,Fuel System,Fuel leakage detected near tank,Fuel System
DT00617,Arocs,Germany,Medium,Fuel System,Fuel consumption higher than expected,Fuel System
DT00618,Atego,USA,High,Fuel System,Fuel pump malfunction reported,Fuel System
DT00619,eActros,Brazil,Low,Fuel System,Injector performance issue detected,Fuel System
DT00620,Axor,South Africa,Medium,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00621,Actros,India,High,Fuel System,Fuel leakage detected near tank,Fuel System
DT00622,Arocs,Germany,Low,Fuel System,Fuel consumption higher than expected,Fuel System
DT00623,Atego,USA,Medium,Fuel System,Fuel pump malfunction reported,Fuel System
DT00624,eActros,Brazil,High,Fuel System,Injector performance issue detected,Fuel System
DT00625,Axor,South Africa,Low,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00626,Actros,India,Medium,Fuel System,Fuel leakage detected near tank,Fuel System
DT00627,Arocs,Germany,High,Fuel System,Fuel consumption higher than expected,Fuel System
DT00628,Atego,USA,Low,Fuel System,Fuel pump malfunction reported,Fuel System
DT00629,eActros,Brazil,Medium,Fuel System,Injector performance issue detected,Fuel System
DT00630,Axor,South Africa,High,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00631,Actros,India,Low,Fuel System,Fuel leakage detected near tank,Fuel System
DT00632,Arocs,Germany,Medium,Fuel System,Fuel consumption higher than expected,Fuel System
DT00633,Atego,USA,High,Fuel System,Fuel pump malfunction reported,Fuel System
DT00634,eActros,Brazil,Low,Fuel System,Injector performance issue detected,Fuel System
DT00635,Axor,South Africa,Medium,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00636,Actros,India,High,Fuel System,Fuel leakage detected near tank,Fuel System
DT00637,Arocs,Germany,Low,Fuel System,Fuel consumption higher than expected,Fuel System
DT00638,Atego,USA,Medium,Fuel System,Fuel pump malfunction reported,Fuel System
DT00639,eActros,Brazil,High,Fuel System,Injector performance issue detected,Fuel System
DT00640,Axor,South Africa,Low,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00641,Actros,India,Medium,Fuel System,Fuel leakage detected near tank,Fuel System
DT00642,Arocs,Germany,High,Fuel System,Fuel consumption higher than expected,Fuel System
DT00643,Atego,USA,Low,Fuel System,Fuel pump malfunction reported,Fuel System
DT00644,eActros,Brazil,Medium,Fuel System,Injector performance issue detected,Fuel System
DT00645,Axor,South Africa,High,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00646,Actros,India,Low,Fuel System,Fuel leakage detected near tank,Fuel System
DT00647,Arocs,Germany,Medium,Fuel System,Fuel consumption higher than expected,Fuel System
DT00648,Atego,USA,High,Fuel System,Fuel pump malfunction reported,Fuel System
DT00649,eActros,Brazil,Low,Fuel System,Injector performance issue detected,Fuel System
DT00650,Axor,South Africa,Medium,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00651,Actros,India,High,Fuel System,Fuel leakage detected near tank,Fuel System
DT00652,Arocs,Germany,Low,Fuel System,Fuel consumption higher than expected,Fuel System
DT00653,Atego,USA,Medium,Fuel System,Fuel pump malfunction reported,Fuel System
DT00654,eActros,Brazil,High,Fuel System,Injector performance issue detected,Fuel System
DT00655,Axor,South Africa,Low,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00656,Actros,India,Medium,Fuel System,Fuel leakage detected near tank,Fuel System
DT00657,Arocs,Germany,High,Fuel System,Fuel consumption higher than expected,Fuel System
DT00658,Atego,USA,Low,Fuel System,Fuel pump malfunction reported,Fuel System
DT00659,eActros,Brazil,Medium,Fuel System,Injector performance issue detected,Fuel System
DT00660,Axor,South Africa,High,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00661,Actros,India,Low,Fuel System,Fuel leakage detected near tank,Fuel System
DT00662,Arocs,Germany,Medium,Fuel System,Fuel consumption higher than expected,Fuel System
DT00663,Atego,USA,High,Fuel System,Fuel pump malfunction reported,Fuel System
DT00664,eActros,Brazil,Low,Fuel System,Injector performance issue detected,Fuel System
DT00665,Axor,South Africa,Medium,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00666,Actros,India,High,Fuel System,Fuel leakage detected near tank,Fuel System
DT00667,Arocs,Germany,Low,Fuel System,Fuel consumption higher than expected,Fuel System
DT00668,Atego,USA,Medium,Fuel System,Fuel pump malfunction reported,Fuel System
DT00669,eActros,Brazil,High,Fuel System,Injector performance issue detected,Fuel System
DT00670,Axor,South Africa,Low,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00671,Actros,India,Medium,Fuel System,Fuel leakage detected near tank,Fuel System
DT00672,Arocs,Germany,High,Fuel System,Fuel consumption higher than expected,Fuel System
DT00673,Atego,USA,Low,Fuel System,Fuel pump malfunction reported,Fuel System
DT00674,eActros,Brazil,Medium,Fuel System,Injector performance issue detected,Fuel System
DT00675,Axor,South Africa,High,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00676,Actros,India,Low,Fuel System,Fuel leakage detected near tank,Fuel System
DT00677,Arocs,Germany,Medium,Fuel System,Fuel consumption higher than expected,Fuel System
DT00678,Atego,USA,High,Fuel System,Fuel pump malfunction reported,Fuel System
DT00679,eActros,Brazil,Low,Fuel System,Injector performance issue detected,Fuel System
DT00680,Axor,South Africa,Medium,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00681,Actros,India,High,Fuel System,Fuel leakage detected near tank,Fuel System
DT00682,Arocs,Germany,Low,Fuel System,Fuel consumption higher than expected,Fuel System
DT00683,Atego,USA,Medium,Fuel System,Fuel pump malfunction reported,Fuel System
DT00684,eActros,Brazil,High,Fuel System,Injector performance issue detected,Fuel System
DT00685,Axor,South Africa,Low,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00686,Actros,India,Medium,Fuel System,Fuel leakage detected near tank,Fuel System
DT00687,Arocs,Germany,High,Fuel System,Fuel consumption higher than expected,Fuel System
DT00688,Atego,USA,Low,Fuel System,Fuel pump malfunction reported,Fuel System
DT00689,eActros,Brazil,Medium,Fuel System,Injector performance issue detected,Fuel System
DT00690,Axor,South Africa,High,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00691,Actros,India,Low,Fuel System,Fuel leakage detected near tank,Fuel System
DT00692,Arocs,Germany,Medium,Fuel System,Fuel consumption higher than expected,Fuel System
DT00693,Atego,USA,High,Fuel System,Fuel pump malfunction reported,Fuel System
DT00694,eActros,Brazil,Low,Fuel System,Injector performance issue detected,Fuel System
DT00695,Axor,South Africa,Medium,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00696,Actros,India,High,Fuel System,Fuel leakage detected near tank,Fuel System
DT00697,Arocs,Germany,Low,Fuel System,Fuel consumption higher than expected,Fuel System
DT00698,Atego,USA,Medium,Fuel System,Fuel pump malfunction reported,Fuel System
DT00699,eActros,Brazil,High,Fuel System,Injector performance issue detected,Fuel System
DT00700,Axor,South Africa,Low,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00701,Actros,India,Medium,Fuel System,Fuel leakage detected near tank,Fuel System
DT00702,Arocs,Germany,High,Fuel System,Fuel consumption higher than expected,Fuel System
DT00703,Atego,USA,Low,Fuel System,Fuel pump malfunction reported,Fuel System
DT00704,eActros,Brazil,Medium,Fuel System,Injector performance issue detected,Fuel System
DT00705,Axor,South Africa,High,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00706,Actros,India,Low,Fuel System,Fuel leakage detected near tank,Fuel System
DT00707,Arocs,Germany,Medium,Fuel System,Fuel consumption higher than expected,Fuel System
DT00708,Atego,USA,High,Fuel System,Fuel pump malfunction reported,Fuel System
DT00709,eActros,Brazil,Low,Fuel System,Injector performance issue detected,Fuel System
DT00710,Axor,South Africa,Medium,Fuel System,Fuel level sensor inaccurate,Fuel System
DT00711,Actros,India,High,Fuel System,Fuel leakage detected near tank,Fuel System
