TruckNumber,Mileage,EngineTemperature,OilPressure,BreakdownRisk,InspectionDate
DT1622,805531,93,42,Low,2026-04-16
DT1623,895827,83,37,Medium,2026-01-15
DT1624,111960,103,15,Medium,2026-04-02
DT1625,638509,108,12,High,2026-02-17
DT1626,228911,94,53,Low,2026-05-24
DT1627,546292,91,44,Low,2026-06-17
DT1628,692790,127,21,High,2026-02-08
DT1629,385892,105,34,Low,2026-05-25
DT1630,361395,92,9,Medium,2026-02-04
DT1631,264161,102,17,Medium,2026-01-03
DT1632,104849,132,48,Low,2026-02-17
DT1633,149083,127,21,Medium,2026-05-16
DT1634,253050,128,54,Medium,2026-06-02
DT1635,100494,78,12,Low,2026-03-12
DT1636,950721,138,16,High,2026-02-24
DT1637,869938,98,32,Medium,2026-01-18
DT1638,380606,99,43,Low,2026-02-15
DT1639,473994,119,56,Low,2026-03-24
DT1640,672912,76,14,Medium,2026-05-17
DT1641,578369,105,32,Medium,2026-03-26
DT1642,372580,93,33,Low,2026-03-28
DT1643,931273,82,52,Low,2026-02-10
DT1644,926379,113,27,High,2026-03-26
DT1645,734090,136,8,High,2026-06-02
DT1646,89171,81,49,Low,2026-01-23
DT1647,449580,122,13,High,2026-05-05
DT1648,594612,84,17,Medium,2026-03-12
DT1649,101877,111,21,Medium,2026-04-24
DT1650,283881,112,36,Medium,2026-01-22
DT1651,530991,136,39,Medium,2026-02-03
DT1652,197504,126,14,Medium,2026-05-19
DT1653,900442,94,56,Low,2026-06-27
DT1654,333787,120,13,Medium,2026-05-28
DT1655,759625,127,25,High,2026-04-04
DT1656,686451,109,40,Medium,2026-04-06
DT1657,209026,135,35,Medium,2026-05-27
DT1658,758056,86,10,Medium,2026-03-14
DT1659,960716,124,39,Medium,2026-04-20
DT1660,383728,133,28,Medium,2026-04-06
DT1661,591120,104,48,Low,2026-02-01
DT1662,115144,82,28,Low,2026-02-02
DT1663,858814,126,38,Medium,2026-03-14
DT1664,953428,121,25,High,2026-04-24
DT1665,599742,114,8,High,2026-05-08
DT1666,206563,96,16,Medium,2026-05-15
DT1667,637447,75,10,Medium,2026-02-27
DT1668,914669,113,42,Medium,2026-04-21
DT1669,376608,86,8,Medium,2026-06-08
DT1670,905397,139,46,Medium,2026-06-12
DT1671,524329,90,58,Low,2026-05-25
DT1672,689026,127,34,Medium,2026-03-17
DT1673,706943,85,10,Medium,2026-06-12
DT1674,798765,100,39,Medium,2026-01-17
DT1675,770716,122,9,High,2026-03-03
DT1676,479005,92,13,Medium,2026-04-11
DT1677,158659,91,57,Low,2026-04-25
DT1678,974288,110,50,Medium,2026-04-01
DT1679,368807,133,27,Medium,2026-04-19
DT1680,759022,84,8,Medium,2026-06-24
DT1681,803439,96,50,Medium,2026-06-04
DT1682,78935,103,31,Low,2026-01-10
DT1683,469876,103,21,Medium,2026-04-04
DT1684,173631,131,28,Medium,2026-01-14
DT1685,255308,131,49,Medium,2026-06-07
DT1686,222197,139,18,Medium,2026-02-20
DT1687,154282,123,9,Medium,2026-05-23
DT1688,854023,104,59,Medium,2026-01-25
DT1689,803117,108,10,High,2026-01-05
DT1690,713311,112,50,Medium,2026-02-08
DT1691,371407,113,42,Low,2026-03-01
DT1692,745504,95,40,Low,2026-05-22
DT1693,429296,103,46,Low,2026-02-09
DT1694,485543,79,37,Low,2026-05-10
DT1695,766891,83,51,Low,2026-06-01
DT1696,658689,117,24,Medium,2026-04-23
DT1697,786686,77,12,Medium,2026-01-22
DT1698,345462,130,53,Medium,2026-01-28
DT1699,243103,123,19,Medium,2026-05-01
DT1700,983570,77,11,Medium,2026-04-04
DT1701,333009,109,9,Medium,2026-04-01
DT1702,909263,135,36,High,2026-06-13
DT1703,876742,123,8,High,2026-04-22
DT1704,971626,99,53,Medium,2026-01-27
DT1705,495804,111,17,Medium,2026-05-11
DT1706,390216,105,28,Low,2026-03-10
DT1707,877467,93,33,Medium,2026-06-11
DT1708,943661,92,10,Medium,2026-01-01
DT1709,482851,104,44,Low,2026-05-01
DT1710,622222,87,33,Low,2026-01-14
DT1711,965735,96,42,Medium,2026-04-02
DT1712,541908,89,53,Low,2026-06-08
DT1713,830837,77,15,Medium,2026-04-01
DT1714,293375,105,24,Medium,2026-04-21
DT1715,327780,117,37,Medium,2026-06-18
DT1716,784766,103,41,Medium,2026-04-23
DT1717,989297,128,34,High,2026-04-15
DT1718,740745,132,8,High,2026-02-13
DT1719,231323,78,25,Low,2026-04-26
DT1720,156056,107,52,Low,2026-03-19
DT1721,660455,78,10,Medium,2026-06-07
DT1722,173020,103,48,Low,2026-01-28
DT1723,849912,116,30,Medium,2026-02-08
DT1724,559482,108,58,Medium,2026-01-16
DT1725,915755,106,34,Medium,2026-05-04
DT1726,885123,137,18,High,2026-02-06
DT1727,89692,106,50,Low,2026-06-07
DT1728,477418,127,46,Medium,2026-05-22
DT1729,538089,86,20,Medium,2026-05-19
DT1730,450860,109,39,Low,2026-01-12
DT1731,607245,138,56,Medium,2026-06-06
DT1732,352255,134,28,Medium,2026-02-05
DT1733,656373,76,38,Low,2026-03-15
DT1734,891032,109,26,High,2026-04-15
DT1735,91296,79,22,Low,2026-05-03
DT1736,257150,109,19,Medium,2026-06-12
DT1737,479312,112,17,Medium,2026-05-01
DT1738,388412,114,41,Low,2026-03-24
DT1739,931246,93,58,Low,2026-01-11
DT1740,483774,113,55,Low,2026-04-09
DT1741,571933,87,19,Medium,2026-06-09
DT1742,970896,91,16,Medium,2026-01-12
DT1743,742796,109,29,Medium,2026-02-06
DT1744,94873,124,34,Medium,2026-03-03
DT1745,272727,100,46,Low,2026-02-27
DT1746,437672,112,17,Medium,2026-02-03
DT1747,577721,88,16,Medium,2026-02-13
DT1748,143527,137,52,Low,2026-02-23
DT1749,797605,132,13,High,2026-05-25
DT1750,862165,129,56,Medium,2026-03-02
DT1751,781404,132,10,High,2026-05-16
DT1752,253519,112,24,Medium,2026-03-24
DT1753,663963,100,38,Low,2026-03-03
DT1754,218322,134,21,Medium,2026-05-22
DT1755,520318,120,17,High,2026-03-13
DT1756,338965,122,19,Medium,2026-05-10
DT1757,489482,84,37,Low,2026-03-04
DT1758,869789,111,29,Medium,2026-01-06
DT1759,374172,80,26,Low,2026-04-21
DT1760,761707,105,51,Medium,2026-05-19
DT1761,381214,89,17,Medium,2026-05-08
DT1762,243826,83,15,Low,2026-06-27
DT1763,447025,101,34,Low,2026-02-04
DT1764,89918,129,19,Medium,2026-05-27
DT1765,230492,118,54,Low,2026-01-13
DT1766,533894,87,33,Low,2026-06-03
DT1767,898587,128,26,High,2026-05-15
DT1768,353311,107,55,Low,2026-04-07
DT1769,543627,120,8,High,2026-05-02
DT1770,612655,89,27,Medium,2026-01-01
DT1771,897512,97,59,Medium,2026-02-10
DT1772,651494,119,47,Medium,2026-05-15
DT1773,89703,109,52,Low,2026-04-14
DT1774,52348,139,36,Medium,2026-06-28
DT1775,347594,101,58,Low,2026-05-15
DT1776,929179,84,43,Low,2026-01-15
DT1777,564400,117,11,High,2026-02-20
DT1778,129572,99,39,Low,2026-01-02
DT1779,404664,115,31,Medium,2026-04-18
DT1780,889815,110,22,High,2026-06-20
DT1781,815424,107,57,Medium,2026-02-13
DT1782,664600,134,51,Medium,2026-06-03
DT1783,252362,93,40,Low,2026-03-24
DT1784,457794,84,46,Low,2026-04-25
DT1785,738682,118,25,Medium,2026-02-27
DT1786,235964,114,32,Low,2026-06-17
DT1787,237952,136,11,Medium,2026-06-27
DT1788,430238,135,37,Medium,2026-01-23
DT1789,776311,129,11,High,2026-01-16
DT1790,499542,84,51,Low,2026-02-01
DT1791,348574,89,21,Low,2026-04-02
DT1792,102631,85,21,Low,2026-03-28
DT1793,746608,84,41,Low,2026-01-16
DT1794,753903,113,21,High,2026-03-15
DT1795,605422,123,15,High,2026-05-25
DT1796,733915,105,31,Medium,2026-06-22
DT1797,639876,139,8,High,2026-01-21
DT1798,853577,98,36,Medium,2026-02-06
DT1799,635667,96,47,Low,2026-01-12
DT1800,54638,109,20,Medium,2026-01-05
DT1801,356706,78,58,Low,2026-06-16
DT1802,320023,82,21,Low,2026-05-01
DT1803,518974,118,48,Medium,2026-01-04
DT1804,915850,128,8,High,2026-06-16
DT1805,904607,109,51,Medium,2026-01-04
DT1806,255751,88,29,Low,2026-05-10
DT1807,816228,99,49,Medium,2026-06-18
DT1808,293690,102,21,Medium,2026-03-04
DT1809,152195,104,42,Low,2026-06-07
DT1810,615573,135,35,Medium,2026-05-25
DT1811,156602,80,46,Low,2026-05-07
DT1812,618331,76,18,Medium,2026-04-24
DT1813,605453,76,53,Low,2026-04-08
DT1814,514686,83,14,Medium,2026-06-16
DT1815,510512,97,16,Medium,2026-04-12
DT1816,421100,77,26,Low,2026-06-11
DT1817,324965,87,47,Low,2026-05-04
DT1818,564252,138,15,High,2026-06-23
DT1819,817864,135,47,Medium,2026-05-01
DT1820,136879,117,25,Medium,2026-03-16
DT1821,497652,138,21,Medium,2026-02-11
DT1822,951108,96,36,Medium,2026-01-06
DT1823,358876,105,56,Low,2026-02-08
DT1824,704360,132,21,High,2026-04-10
DT1825,170695,107,21,Medium,2026-03-09
DT1826,540230,95,50,Low,2026-01-19
DT1827,519137,95,27,Medium,2026-05-11
DT1828,968785,110,50,Medium,2026-06-25
DT1829,487761,93,16,Medium,2026-04-24
DT1830,496004,96,27,Medium,2026-06-18
DT1831,443167,78,32,Low,2026-06-16
DT1832,806590,85,57,Low,2026-05-09
DT1833,87887,112,54,Low,2026-02-15
DT1834,201606,82,16,Low,2026-03-25
DT1835,173104,92,46,Low,2026-03-05
DT1836,544769,94,55,Low,2026-01-22
DT1837,431747,133,41,Medium,2026-05-22
DT1838,569497,115,13,High,2026-01-01
DT1839,932065,122,56,Medium,2026-02-16
DT1840,833104,131,46,Medium,2026-05-15
DT1841,82111,87,52,Low,2026-04-08
DT1842,573370,116,35,Medium,2026-05-28
DT1843,660826,78,35,Low,2026-06-23
DT1844,804901,137,47,Medium,2026-03-17
DT1845,380771,134,58,Medium,2026-04-03
DT1846,630254,115,27,Medium,2026-06-27
DT1847,687350,131,19,High,2026-05-05
DT1848,992064,87,41,Low,2026-05-10
DT1849,332642,120,55,Low,2026-05-11
DT1850,960979,127,52,Medium,2026-01-16
DT1851,624122,119,9,High,2026-04-06
DT1852,366025,131,32,Medium,2026-01-20
DT1853,943117,131,12,High,2026-03-22
DT1854,96137,99,57,Low,2026-05-15
DT1855,470248,128,58,Medium,2026-04-01
DT1856,618394,140,16,High,2026-01-25
DT1857,200058,95,46,Low,2026-04-15
DT1858,550254,132,53,Medium,2026-04-14
DT1859,542055,87,11,Medium,2026-03-18
DT1860,957228,105,23,Medium,2026-02-11
DT1861,512685,124,24,High,2026-05-10
DT1862,735675,133,59,Medium,2026-01-23
DT1863,785754,122,51,Medium,2026-04-03
DT1864,90108,114,33,Low,2026-05-26
DT1865,738438,123,35,Medium,2026-01-08
DT1866,654946,116,11,High,2026-04-28
DT1867,646770,117,42,Medium,2026-04-28
DT1868,705175,108,22,Medium,2026-06-10
DT1869,215615,95,43,Low,2026-01-05
DT1870,915482,113,12,High,2026-06-07
DT1871,187054,78,33,Low,2026-03-20
DT1872,782830,91,25,Medium,2026-02-04
DT1873,212147,124,35,Medium,2026-06-08
DT1874,135521,94,24,Low,2026-05-19
DT1875,319271,85,52,Low,2026-01-20
DT1876,972644,128,45,Medium,2026-03-14
DT1877,711580,84,11,Medium,2026-02-03
DT1878,162848,105,49,Low,2026-06-19
DT1879,683242,137,54,Medium,2026-03-19
DT1880,308950,92,57,Low,2026-03-03
DT1881,944049,94,19,Medium,2026-06-02
DT1882,241778,120,13,Medium,2026-01-25
DT1883,152664,92,55,Low,2026-03-06
DT1884,608574,96,30,Medium,2026-01-21
DT1885,625241,124,48,Medium,2026-03-28
DT1886,675628,127,16,High,2026-02-04
DT1887,674595,103,36,Medium,2026-06-05
DT1888,493632,122,47,Medium,2026-01-15
DT1889,539566,88,50,Low,2026-02-07
DT1890,203302,80,32,Low,2026-05-22
DT1891,508512,105,35,Medium,2026-04-28
DT1892,919603,106,32,Medium,2026-04-13
DT1893,890908,129,52,Medium,2026-02-05
DT1894,258918,101,31,Low,2026-01-04
DT1895,727423,120,12,High,2026-01-28
DT1896,503134,121,19,High,2026-02-15
DT1897,778269,128,58,Medium,2026-05-07
DT1898,626885,139,43,Medium,2026-05-20
DT1899,152899,134,38,Low,2026-03-21
DT1900,150462,76,30,Low,2026-03-23
DT1901,871426,108,44,Medium,2026-02-05
DT1902,677895,77,27,Medium,2026-03-10
DT1903,152456,78,22,Low,2026-03-14
DT1904,798146,117,28,Medium,2026-01-25
DT1905,606010,131,34,Medium,2026-06-28
DT1906,405073,79,60,Low,2026-06-26
DT1907,274029,88,40,Low,2026-05-08
DT1908,197936,90,13,Low,2026-01-10
DT1909,448212,129,9,High,2026-03-21
DT1910,880684,108,31,Medium,2026-06-19
DT1911,164417,99,33,Low,2026-02-06
DT1912,442842,130,43,Medium,2026-04-15
DT1913,588775,118,40,Medium,2026-04-13
DT1914,524406,121,48,Medium,2026-04-23
DT1915,930998,129,26,High,2026-05-11
DT1916,431388,111,41,Low,2026-02-15
DT1917,184943,77,16,Low,2026-02-16
DT1918,291187,122,48,Medium,2026-03-05
DT1919,945629,129,50,Medium,2026-01-11
DT1920,149658,131,51,Low,2026-06-18
DT1921,347884,124,27,Medium,2026-04-02
DT1922,865883,112,46,Medium,2026-04-07
DT1923,188877,108,57,Low,2026-06-24
DT1924,254437,118,28,Medium,2026-04-26
DT1925,412711,118,16,Medium,2026-05-04
DT1926,133757,102,10,Medium,2026-06-19
DT1927,158150,99,11,Medium,2026-06-04
DT1928,355497,135,11,High,2026-01-23
DT1929,884715,76,23,Medium,2026-06-12
DT1930,193187,131,48,Low,2026-02-13
DT1931,784614,83,10,Medium,2026-06-03
DT1932,50770,132,29,Medium,2026-03-19
DT1933,156034,116,27,Medium,2026-06-11
DT1934,397690,138,53,Medium,2026-06-06
DT1935,886830,111,51,Medium,2026-04-24
DT1936,811344,86,60,Low,2026-06-01
DT1937,766448,107,43,Medium,2026-03-16
DT1938,107381,97,54,Low,2026-06-26
DT1939,55857,107,14,Medium,2026-05-13
DT1940,174921,124,21,Medium,2026-05-08
DT1941,893799,91,46,Low,2026-05-23
DT1942,353978,134,14,High,2026-02-19
DT1943,689173,130,10,High,2026-04-18
DT1944,547347,123,54,Medium,2026-03-19
DT1945,867697,132,55,Medium,2026-04-20
DT1946,66285,111,16,Medium,2026-01-23
DT1947,867215,83,53,Low,2026-06-08
DT1948,583422,129,23,High,2026-03-14
DT1949,904789,104,11,High,2026-02-08
DT1950,539968,107,33,Medium,2026-04-09
DT1951,877338,134,32,High,2026-01-07
DT1952,594305,119,25,Medium,2026-06-19
DT1953,657837,126,19,High,2026-02-23
DT1954,354194,99,12,Medium,2026-05-20
DT1955,74472,131,56,Low,2026-03-02
DT1956,234738,81,8,Low,2026-06-05
DT1957,875010,105,42,Medium,2026-04-11
DT1958,333555,109,60,Low,2026-04-23
DT1959,235527,116,11,Medium,2026-02-28
DT1960,154616,94,36,Low,2026-02-17
DT1961,53548,129,34,Medium,2026-03-24
DT1962,906590,112,17,High,2026-05-01
DT1963,60451,82,31,Low,2026-02-11
DT1964,489213,101,40,Low,2026-04-03
DT1965,501763,114,12,High,2026-04-23
DT1966,220036,121,59,Low,2026-06-06
DT1967,83719,123,40,Low,2026-06-13
DT1968,845517,84,12,Medium,2026-02-15
DT1969,838440,132,8,High,2026-03-23
DT1970,266461,115,31,Medium,2026-03-26
DT1971,626728,131,19,High,2026-02-13
DT1972,324864,105,37,Low,2026-02-12
DT1973,82076,113,20,Medium,2026-06-20
DT1974,635736,97,55,Low,2026-03-17
DT1975,924156,113,58,Medium,2026-01-28
DT1976,963475,119,29,Medium,2026-02-13
DT1977,811810,87,57,Low,2026-02-08
DT1978,425734,81,56,Low,2026-05-18
DT1979,354382,84,26,Low,2026-01-09
DT1980,150353,123,48,Low,2026-03-08
DT1981,735338,82,11,Medium,2026-03-27
DT1982,996999,90,58,Low,2026-01-08
DT1983,570131,140,38,Medium,2026-02-16
DT1984,331549,131,51,Medium,2026-06-09
DT1985,53384,97,13,Medium,2026-06-24
DT1986,229862,84,29,Low,2026-04-11
DT1987,410676,75,10,Medium,2026-04-08
DT1988,321937,128,47,Medium,2026-01-07
DT1989,668633,75,24,Medium,2026-02-22
DT1990,185479,90,18,Low,2026-01-13
DT1991,316610,120,23,Medium,2026-05-26
DT1992,861054,102,29,Medium,2026-04-18
DT1993,163012,75,33,Low,2026-01-12
DT1994,631601,122,17,High,2026-02-25
DT1995,787227,113,51,Medium,2026-02-22
DT1996,758678,120,42,Medium,2026-02-22
DT1997,297415,81,33,Low,2026-01-16
DT1998,755814,109,43,Medium,2026-06-16
DT1999,175477,138,33,Medium,2026-05-08
DT2000,899433,100,12,High,2026-05-15
DT2001,895909,89,14,Medium,2026-01-09
DT2002,382434,117,24,Medium,2026-05-25
DT2003,961005,79,39,Low,2026-01-06
DT2004,207923,85,11,Low,2026-05-11
DT2005,989204,125,57,Medium,2026-04-24
DT2006,380271,85,50,Low,2026-05-14
DT2007,863002,122,30,High,2026-03-28
DT2008,203867,75,51,Low,2026-02-25
DT2009,543452,112,60,Medium,2026-03-09
DT2010,975641,125,23,High,2026-04-03
DT2011,95984,121,53,Low,2026-06-01
DT2012,294898,114,39,Low,2026-01-20
DT2013,715319,92,58,Low,2026-03-06
DT2014,777022,88,9,Medium,2026-06-05
DT2015,636478,76,12,Medium,2026-06-10
DT2016,72093,126,21,Medium,2026-04-08
DT2017,237760,90,59,Low,2026-03-27
DT2018,962912,139,10,High,2026-02-10
DT2019,172509,138,9,Medium,2026-02-17
DT2020,847200,94,10,Medium,2026-01-20
DT2021,118833,125,26,Medium,2026-06-10
DT2022,250130,133,45,Medium,2026-05-11
DT2023,202128,93,54,Low,2026-03-11
DT2024,756969,98,40,Medium,2026-02-08
DT2025,850148,91,37,Medium,2026-02-12
DT2026,120852,117,9,Medium,2026-06-25
DT2027,323245,137,9,High,2026-04-09
DT2028,946499,98,21,Medium,2026-01-13
DT2029,422563,101,47,Low,2026-06-21
DT2030,758490,122,48,Medium,2026-02-19
DT2031,440265,94,28,Low,2026-03-25
DT2032,845800,97,56,Medium,2026-05-20
DT2033,305218,113,58,Low,2026-06-21
DT2034,890090,126,31,High,2026-04-10
DT2035,200903,131,29,Medium,2026-04-06
DT2036,83185,83,53,Low,2026-03-09
DT2037,635372,97,60,Low,2026-05-09
DT2038,710639,134,59,Medium,2026-06-01
DT2039,277152,135,16,High,2026-01-25
DT2040,515721,115,50,Medium,2026-06-11
DT2041,445476,90,45,Low,2026-04-24
DT2042,246703,128,14,Medium,2026-03-03
DT2043,739591,94,40,Low,2026-02-21
DT2044,162599,81,39,Low,2026-03-07
DT2045,793894,117,26,High,2026-03-11
DT2046,406482,119,37,Medium,2026-02-13
DT2047,541310,107,36,Medium,2026-06-16
DT2048,292791,137,53,Medium,2026-04-19
DT2049,174039,123,27,Medium,2026-01-19
DT2050,96862,79,11,Low,2026-04-10
DT2051,424363,136,22,Medium,2026-04-18
DT2052,705682,96,50,Low,2026-04-28
DT2053,54733,100,18,Low,2026-03-18
DT2054,815532,131,18,High,2026-06-15
DT2055,880318,107,20,High,2026-06-28
DT2056,527510,124,58,Medium,2026-04-14
DT2057,945969,93,57,Low,2026-02-10
DT2058,313348,104,57,Low,2026-03-16
DT2059,786720,94,17,Medium,2026-05-24
DT2060,656484,118,31,Medium,2026-05-15
DT2061,761703,106,32,Medium,2026-03-28
DT2062,922639,108,47,Medium,2026-05-09
DT2063,716747,136,21,High,2026-05-08
DT2064,826189,75,55,Low,2026-03-21
DT2065,612878,79,26,Medium,2026-01-18
DT2066,89522,96,51,Low,2026-05-02
DT2067,261191,86,50,Low,2026-06-06
DT2068,667267,113,32,Medium,2026-01-13
DT2069,644035,135,51,Medium,2026-06-03
DT2070,834755,130,20,High,2026-02-25
DT2071,853469,131,37,High,2026-04-26
DT2072,287800,137,45,Medium,2026-05-12
DT2073,847235,127,59,Medium,2026-03-09
DT2074,773323,86,28,Medium,2026-06-02
DT2075,538065,99,55,Low,2026-01-11
DT2076,568885,86,18,Medium,2026-01-05
DT2077,154396,115,10,Medium,2026-01-01
DT2078,981781,131,25,High,2026-04-27
DT2079,465967,90,10,Medium,2026-01-21
DT2080,403047,95,45,Low,2026-02-03
DT2081,919995,114,56,Medium,2026-02-18
DT2082,691528,109,37,Medium,2026-04-25
DT2083,437610,94,14,Medium,2026-04-28
DT2084,434641,124,36,Medium,2026-01-05
DT2085,238600,89,58,Low,2026-02-15
DT2086,758469,127,24,High,2026-01-23
DT2087,713768,113,32,Medium,2026-05-16
DT2088,425814,110,49,Low,2026-03-17
DT2089,460046,103,41,Low,2026-01-08
DT2090,263651,96,37,Low,2026-04-28
DT2091,734284,101,45,Low,2026-03-25
DT2092,533382,111,40,Medium,2026-05-07
DT2093,877460,91,23,Medium,2026-05-24
DT2094,391583,119,14,Medium,2026-05-26
DT2095,959777,100,50,Medium,2026-05-26
DT2096,947774,121,9,High,2026-05-01
DT2097,903778,109,50,Medium,2026-05-05
DT2098,656257,140,9,High,2026-02-02
DT2099,777924,81,43,Low,2026-01-16
DT2100,537934,127,57,Medium,2026-03-20
DT2101,661368,137,27,High,2026-06-02
DT2102,919499,132,48,Medium,2026-03-07
DT2103,714284,78,44,Low,2026-03-07
DT2104,809565,132,28,High,2026-06-09
DT2105,785598,91,40,Low,2026-01-06
DT2106,756797,121,42,Medium,2026-01-26
DT2107,516460,76,37,Low,2026-06-28
DT2108,517047,75,59,Low,2026-02-13
DT2109,150175,122,18,Medium,2026-06-23
DT2110,359122,132,25,Medium,2026-06-18
DT2111,173460,118,32,Low,2026-01-27
DT2112,762149,127,54,Medium,2026-06-21
DT2113,548414,134,59,Medium,2026-03-05
DT2114,788319,130,56,Medium,2026-06-24
DT2115,794597,113,58,Medium,2026-01-15
DT2116,277166,112,47,Low,2026-02-05
DT2117,223579,110,33,Low,2026-01-22
DT2118,583062,129,29,Medium,2026-06-19
DT2119,993269,86,11,Medium,2026-05-07
DT2120,628905,118,23,Medium,2026-04-03
DT2121,648269,119,18,Medium,2026-04-26
DT2122,468671,123,20,Medium,2026-03-21
DT2123,571693,111,30,Medium,2026-05-16
DT2124,911080,93,15,Medium,2026-02-03
DT2125,151986,91,23,Low,2026-01-28
DT2126,688135,123,10,High,2026-03-08
DT2127,750861,90,41,Low,2026-01-06
DT2128,124696,84,31,Low,2026-05-14
DT2129,317844,110,16,Medium,2026-06-11
DT2130,761507,115,46,Medium,2026-01-23
DT2131,387942,76,27,Low,2026-03-28
DT2132,628896,89,19,Medium,2026-02-21
DT2133,543085,137,35,Medium,2026-06-04
DT2134,897533,93,19,Medium,2026-01-12
DT2135,910737,139,57,Medium,2026-05-23
DT2136,883343,92,14,Medium,2026-05-02
DT2137,211807,100,25,Low,2026-01-16
DT2138,282478,138,46,Medium,2026-06-01
DT2139,866809,107,8,High,2026-03-15
DT2140,450902,88,19,Low,2026-03-18
DT2141,551482,76,58,Low,2026-01-07
DT2142,840494,103,35,Medium,2026-02-28
DT2143,221912,123,57,Low,2026-01-10
DT2144,562321,91,60,Low,2026-01-02
DT2145,337166,79,58,Low,2026-04-18
DT2146,989851,112,38,Medium,2026-03-11
DT2147,52036,118,51,Low,2026-02-20
DT2148,697240,95,55,Low,2026-05-22
DT2149,353694,96,37,Low,2026-02-10
DT2150,994180,112,55,Medium,2026-01-08
DT2151,927234,105,34,Medium,2026-01-03
DT2152,697872,134,27,High,2026-04-05
DT2153,279753,101,28,Low,2026-06-18
DT2154,807088,133,45,Medium,2026-02-07
DT2155,754958,135,20,High,2026-02-15
DT2156,851509,125,22,High,2026-01-12
DT2157,981916,87,45,Low,2026-02-26
DT2158,789621,78,30,Medium,2026-05-06
DT2159,885416,115,30,Medium,2026-04-08
DT2160,222446,110,8,Medium,2026-06-10
DT2161,131227,128,60,Low,2026-04-02
DT2162,477071,97,32,Low,2026-06-22
DT2163,680801,88,19,Medium,2026-04-27
DT2164,256406,120,58,Low,2026-02-18
DT2165,290566,112,57,Low,2026-04-20
DT2166,96359,100,40,Low,2026-01-15
DT2167,383455,93,53,Low,2026-01-07
DT2168,308731,101,43,Low,2026-01-10
DT2169,750224,133,17,High,2026-03-01
DT2170,460895,116,59,Low,2026-04-22
DT2171,999362,130,12,High,2026-02-19
DT2172,507095,135,15,High,2026-03-17
DT2173,774568,115,55,Medium,2026-01-15
DT2174,562293,137,41,Medium,2026-04-27
DT2175,698805,115,52,Medium,2026-06-14
DT2176,246511,140,45,Low,2026-03-21
DT2177,671797,121,21,High,2026-06-05
DT2178,448400,130,15,High,2026-04-25
DT2179,901184,101,42,Medium,2026-03-15
DT2180,903064,136,55,Medium,2026-01-16
DT2181,909938,83,21,Medium,2026-02-01
DT2182,377006,133,18,Medium,2026-04-19
DT2183,251790,100,50,Low,2026-02-05
DT2184,194923,83,56,Low,2026-03-06
DT2185,738024,132,49,Medium,2026-04-05
DT2186,744473,89,30,Low,2026-02-18
DT2187,147856,119,46,Low,2026-01-20
DT2188,444459,82,51,Low,2026-04-18
DT2189,617600,128,29,Medium,2026-01-28
DT2190,67336,135,31,Medium,2026-06-23
DT2191,896365,137,38,Medium,2026-06-14
DT2192,773554,87,8,Medium,2026-02-25
DT2193,333895,77,8,Medium,2026-03-24
DT2194,694363,103,39,Low,2026-05-18
DT2195,920677,125,39,Medium,2026-01-23
DT2196,327791,80,27,Low,2026-04-25
DT2197,369341,140,15,High,2026-01-19
DT2198,666370,140,33,Medium,2026-03-10
DT2199,548477,121,38,Medium,2026-05-23
DT2200,375065,130,11,High,2026-05-26
DT2201,572075,135,24,High,2026-05-12
DT2202,159602,114,40,Low,2026-01-16
DT2203,605131,78,46,Low,2026-02-08
DT2204,952481,101,26,Medium,2026-02-08
DT2205,860773,80,57,Low,2026-06-28
DT2206,873422,122,36,High,2026-04-24
DT2207,705160,110,40,Medium,2026-06-17
DT2208,955414,113,12,High,2026-04-21
DT2209,188357,98,54,Low,2026-05-28
DT2210,97123,104,30,Low,2026-03-26
DT2211,587470,79,41,Low,2026-05-19
DT2212,731956,88,9,Medium,2026-05-28
DT2213,584169,112,14,High,2026-01-01
DT2214,841946,100,15,High,2026-03-09
DT2215,716293,103,48,Low,2026-06-03
DT2216,337004,115,59,Low,2026-01-28
DT2217,428717,113,60,Low,2026-02-23
DT2218,186053,94,52,Low,2026-04-26
DT2219,234718,121,10,Medium,2026-05-02
DT2220,913626,75,51,Low,2026-05-14
DT2221,170375,126,30,Medium,2026-01-12
DT2222,564208,92,8,Medium,2026-06-10
DT2223,114788,128,33,Medium,2026-04-07
DT2224,410355,137,51,Medium,2026-06-28
DT2225,255478,122,48,Medium,2026-01-04
DT2226,833029,98,49,Medium,2026-04-26
DT2227,960281,86,59,Low,2026-02-01
DT2228,101784,103,48,Low,2026-02-06
DT2229,462497,98,24,Medium,2026-01-21
DT2230,171728,81,25,Low,2026-05-09
DT2231,861068,85,57,Low,2026-06-05
DT2232,309999,78,10,Medium,2026-06-02
DT2233,882780,90,39,Low,2026-03-18
DT2234,600088,113,9,High,2026-01-25
DT2235,192891,86,53,Low,2026-04-19
DT2236,605334,107,10,High,2026-05-15
DT2237,997583,140,21,High,2026-02-13
DT2238,420760,107,52,Low,2026-06-10
DT2239,653839,92,49,Low,2026-06-17
DT2240,882566,120,45,Medium,2026-06-05
DT2241,305369,109,49,Low,2026-04-10
DT2242,324489,131,15,High,2026-06-17
DT2243,771209,139,43,Medium,2026-05-05
DT2244,647110,126,33,Medium,2026-04-17
DT2245,714178,101,45,Low,2026-06-06
